PID	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	Pathway	Pathway1	Pathway2
ko00670	477465.55000000005	378318.85	426458.0800000001	511197.3400000001	595784.72	641708.96	448076.4500000002	635087.19	537067.0900000001	229597.14	532926.87	542954.9000000001	474385.5000000001	516078.22000000003	380088.95999999996	423475.01	508023.56	481797.8600000001	472333.62	537798.8400000001	548184.2100000001	491597.9600000001	511247.29000000004	407842.95999999996	One carbon pool by folate	Metabolism	Metabolism of cofactors and vitamins
ko00511	283339.57999999996	436649.66	200638.28999999998	557050.76	681152.3500000001	826217.72	351975.02	779461.77	480466.95999999996	243598.32999999996	449175.11	448181.09	362482.96	537879.61	249116.03	330375.47000000003	399301.91000000003	373998.77999999997	543581.84	618689.02	470687.6399999999	394260.85	496532.64	209153.24000000002	Other glycan degradation	Metabolism	Glycan biosynthesis and metabolism
ko00514	1.0	0.4	15.0	682.0	0.0	0.0	1.2	137.0	76.0	323.0	0.0	25.6	0.0	0.0	67.0	41.0	73.0	64.0	0.0	278.0	6.0	0.0	0.0	0.0	Other types of O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
Others	114331.84000000008	92254.49	115773.53000000001	136910.99000000002	136662.81000000006	141203.92	122865.14	135969.56000000006	147661.35999999996	133978.91000000003	162500.41	145754.09999999992	119178.22999999997	127724.67999999996	97200.00000000003	112223.56000000006	121476.71999999997	126652.46999999996	127771.27999999998	132168.44	144405.27999999997	119943.19000000002	141617.32999999993	105255.06	Others	Not Included in Pathway or Brite	Unclassified: metabolism
ko00190	881368.44	704570.8299999998	829143.2300000004	987478.3799999999	1057217.7	1143352.9100000006	841311.8400000002	1172406.2000000002	1043270.3600000001	508561.91000000027	946840.9199999997	1022938.2999999998	874732.87	936608.84	717545.1699999996	832428.2	931422.9199999998	866421.41	873030.3299999996	1006400.8500000002	1029146.53	923435.77	965550.7099999996	753051.22	Oxidative phosphorylation	Metabolism	Energy metabolism
ko04921	236.0	104.0	81.25	113.0	136.5	0.0	529.75	123.0	0.0	0.0	87.25	0.0	43.0	1166.25	35.5	51.25	20.0	43.5	133.5	59.0	29.5	24.5	0.0	3.0	Oxytocin signaling pathway	Organismal Systems	Endocrine system
ko04151	51529.73	31938.9	41064.91000000001	42522.560000000005	42630.54	42602.53	45238.700000000004	43427.65	46131.4	24048.850000000006	49199.35	48073.71	42850.740000000005	42453.210000000014	35469.47	42259.25999999998	44822.33	36559.19	42642.700000000004	40489.2	42542.27	47061.02	40669.57	41011.960000000014	PI3K-Akt signaling pathway	Environmental Information Processing	Signal transduction
ko03320	120369.95000000001	114905.01000000001	104305.1	162165.74000000002	155251.43	181918.24000000002	117187.41	181160.33000000002	144871.38	54319.67	134248.07	147173.71000000002	119686.99	156869.24000000002	95652.52000000002	109188.52000000002	134034.94999999998	135005.16999999998	134560.02000000002	162888.97	154379.81999999998	138783.66	163719.52999999997	99407.35	PPAR signaling pathway	Organismal Systems	Endocrine system
ko04972	3701.0	5681.53	4016.27	5379.73	10647.92	1020.83	4232.880000000001	3979.37	5159.3	12461.68	7997.259999999998	8748.4	4977.81	6762.81	5489.440000000001	7660.040000000003	3560.44	7451.18	11636.16	3136.03	8239.82	2174.62	3119.890000000001	3918.78	Pancreatic secretion	Organismal Systems	Digestive system
ko00770	553019.6499999999	358456.7099999999	510642.79000000004	500362.84	574994.3899999999	598978.33	494323.8900000002	588980.86	549771.2200000002	293242.45999999996	573833.65	566916.23	505975.8100000002	498769.50999999995	424092.15	465342.27999999997	530940.4599999998	483914.70000000007	473661.11000000004	512051.1	536368.4500000002	514758.51	513087.23	458214.7100000001	Pantothenate and CoA biosynthesis	Metabolism	Metabolism of cofactors and vitamins
ko04928	236.0	0.0	0.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	24.0	26.0	14.0	36.0	121.0	0.0	10.0	24.5	0.0	3.0	Parathyroid hormone synthesis, secretion and action	Organismal Systems	Endocrine system
ko05012	87982.99	62986.82	84249.89	93203.04	103066.86	110326.88	74663.62000000001	96431.69	94696.05000000002	27035.26	90411.56	92940.55	84710.95	87340.81999999999	66795.34000000001	75462.87	82330.43	76759.43999999999	75215.70000000001	95023.46	90728.98	83700.44	91421.73999999998	69423.87	Parkinson disease	Human Diseases	Neurodegenerative disease
ko05130	45639.82	30026.620000000003	41979.710000000014	39742.77	42197.64	43774.6	39565.61	45600.50000000001	45560.66	21958.13	43176.26000000001	44775.840000000004	40119.16000000001	38770.520000000004	32798.77999999999	38435.31	42170.439999999995	42119.330000000016	36020.200000000004	38361.12	44224.62	43009.78000000001	39723.9	37079.54	Pathogenic Escherichia coli infection	Human Diseases	Infectious disease: bacterial
ko05200	44403.47	32510.829999999998	50244.830000000016	50588.55	44337.990000000005	44056.16	42715.850000000006	47254.71	52728.66	30325.200000000004	58969.630000000005	52323.64	39483.04	43719.640000000014	34229.72	39968.919999999984	43364.3	43298.54	41207.32	43943.119999999995	47915.24	44767.909999999996	45845.17	37362.37000000001	Pathways in cancer	Human Diseases	Cancer: overview
ko05022	27733.15	25774.82	31006.34	30828.38	25878.99	29512.170000000002	25961.129999999997	35651.92999999999	33562.53	17782.46	20076.6	19302.24	17724.48	28241.670000000002	18686.300000000003	25576.47	19967.600000000002	22865.170000000002	27008.530000000002	25585.4	31264.65	22654.899999999998	24855.699999999997	11871.24	Pathways of neurodegeneration - multiple diseases	Human Diseases	Neurodegenerative disease
ko00311	21095.73	22498.42	11000.970000000001	39310.45	44695.57	52187.36	24364.760000000002	46852.119999999995	30385.57	13492.08	24815.16	38633.740000000005	29153.130000000005	34020.1	19536.95	20707.960000000003	22316.16	24751.550000000003	27984.020000000004	36045.33	25036.0	29439.950000000004	33875.7	20361.010000000002	Penicillin and cephalosporin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko00040	303457.32000000007	369806.36	265453.94	448453.56999999995	542961.4199999999	632052.8899999998	337949.13	559309.96	473366.62	215827.88	485353.7200000001	471227.4199999999	367894.8700000001	461747.9300000001	286860.24	279273.13999999996	403854.81000000006	370085.19	395472.09	492674.84	420808.69999999984	371255.67	439971.4799999999	282668.52	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
ko00030	693132.5899999999	530656.1799999999	659290.64	701056.8199999998	853913.3599999999	915961.42	662850.8500000001	841105.92	829314.1900000002	338909.8899999999	819513.4800000001	846006.4700000003	713822.5599999998	730729.18	565506.59	595427.42	735275.5199999998	661668.4700000001	659341.7800000004	770407.28	747069.6600000003	718709.7799999997	756788.2200000002	639278.1699999998	Pentose phosphate pathway	Metabolism	Carbohydrate metabolism
ko01002	1574194.1000000027	1303645.5200000012	1584191.8099999996	1760807.4200000002	1970762.340000003	2056364.6300000006	1533833.990000001	1893155.6700000023	1945281.429999998	830573.1000000004	1876713.4999999956	1918447.629999998	1674921.8999999992	1701287.6499999978	1370152.3199999998	1456159.9400000002	1651298.3599999999	1609398.7500000012	1496760.2900000014	1770571.1800000002	1854142.8500000015	1701097.1099999985	1830514.3999999983	1451455.3199999998	Peptidases and inhibitors	Brite Hierarchies	Protein families: metabolism
ko00550	790620.9900000001	511626.9800000001	760126.3700000002	716290.5100000001	804142.3800000002	799915.95	687055.6300000004	781133.2400000001	821559.1	326031.28	821806.9100000001	832820.49	760079.0900000002	704305.7000000004	628923.72	677101.4199999998	752796.2400000002	694802.2099999996	630843.8099999997	716955.17	782719.76	766618.2499999998	760609.1699999996	685885.8099999999	Peptidoglycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
ko01011	979017.5599999999	679547.0900000005	959567.8200000003	945195.95	1069578.1500000004	1077894.0600000005	885840.3100000008	1042054.3599999994	1064617.3399999999	475418.5299999997	1062282.18	1077768.86	967466.7599999998	920955.860000001	791730.8599999998	859658.0300000001	954565.0399999996	896116.3299999993	834377.6500000001	951109.48	1037355.8100000008	981786.1899999985	1000822.75	858516.8499999997	Peptidoglycan biosynthesis and degradation proteins	Brite Hierarchies	Protein families: metabolism
ko04146	137789.43000000002	142058.11000000002	134544.16999999998	189369.19	193122.55	223258.63000000003	148808.81	236729.05000000005	195789.34	79323.84000000001	188432.71	176419.84999999998	141140.82000000004	191367.47	115099.58000000002	136477.03	164089.47999999998	160411.02999999997	165414.02000000002	198964.58000000002	189039.16999999998	166260.15999999997	182239.16999999998	120877.09000000001	Peroxisome	Cellular Processes	Transport and catabolism
ko05133	25384.91	42174.43000000001	18958.47	55088.98	61537.95	72047.90999999999	46795.98	69931.00000000001	39976.76000000002	64431.869999999995	39705.770000000004	45096.4	31411.230000000003	53037.610000000015	24690.14	30613.56	35854.69999999999	51852.009999999995	48884.14	58300.7	46575.070000000014	35940.46000000001	45955.37	22120.23	Pertussis	Human Diseases	Infectious disease: bacterial
ko04145	240.0	0.0	0.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	24.0	26.0	14.0	36.0	121.0	0.0	10.0	24.5	0.0	3.0	Phagosome	Cellular Processes	Transport and catabolism
ko00405	60994.3	44894.380000000005	59963.83	59808.39	71268.84	76983.63	55758.46	80236.34	66737.33	30078.130000000005	63754.23000000001	62952.78	53884.57000000001	61722.36000000001	46669.49000000001	51493.91	58223.530000000006	53046.39	58208.20000000001	65127.899999999994	65859.73999999999	57540.18000000001	65389.429999999986	46288.17000000001	Phenazine biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko00360	161618.23000000007	145520.05000000005	149300.35	224066.22000000003	219858.4800000001	254649.88000000006	163433.66	261891.43000000008	196249.65999999995	108995.20000000003	201248.55000000005	202268.05999999994	169967.54000000012	201067.68999999994	132312.22999999998	152036.3600000001	181330.51000000018	198226.28999999998	173827.50000000003	199534.19	204643.5199999999	171061.35000000003	210188.39999999988	152184.91999999998	Phenylalanine metabolism	Metabolism	Amino acid metabolism
ko00400	694655.7099999998	507068.9099999998	673748.77	681892.1	777560.3200000001	831542.4200000002	652917.0299999999	831961.5300000001	766948.4700000003	356308.1	759338.8700000003	758607.8700000001	664113.14	688779.51	561696.06	621810.2800000003	698182.9299999999	662960.8399999999	649649.5800000002	697456.1699999999	750779.6200000001	698616.92	720888.54	610198.0100000001	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism	Amino acid metabolism
ko00940	101168.07	129851.88999999998	106147.34	175094.83	197605.12000000005	239841.34	130394.35999999999	224302.80000000002	195481.83	62839.27	211351.97000000003	177772.86000000004	137973.21	184348.38999999996	101437.57	103574.83000000002	152798.23999999993	132259.13999999998	157560.99	199776.13	159699.07	155098.41999999995	170151.97	113851.92	Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko04070	79012.09	61233.399999999994	69161.75	89789.57	91983.51000000001	98746.13	76746.98000000001	104050.15	92154.39000000001	38474.990000000005	86684.51000000001	92016.38	76178.82	82902.73000000001	60568.4	72486.43	80232.80000000002	74530.93	75944.43000000001	86989.12	88835.64	79177.46	93000.67	62081.9	Phosphatidylinositol signaling system	Environmental Information Processing	Signal transduction
ko04072	21252.77	14603.02	15397.9	23662.8	25838.85	25087.53	20538.48	28490.35	21400.73	5178.45	15257.62	22572.07	18607.45	18825.97	12457.33	18085.75	21726.43	14698.8	18325.44	21918.67	21200.9	19319.19	25280.5	16118.6	Phospholipase D signaling pathway	Environmental Information Processing	Signal transduction
ko00440	51081.92999999999	60233.4	40768.03	96806.86000000002	92309.58000000003	97861.92999999996	65661.48999999999	114476.16000000006	59514.840000000004	58927.92000000001	55294.32999999998	71310.51000000001	63485.31999999998	77162.66	41981.990000000005	55179.97999999998	58686.599999999984	68859.29999999999	69932.34000000001	79368.03	71330.42000000003	51758.03000000001	84385.82999999996	48140.119999999995	Phosphonate and phosphinate metabolism	Metabolism	Metabolism of other amino acids
ko02060	163791.61000000007	92272.51	166304.37	126703.75000000006	155131.9900000001	176641.04	174795.22	270338.04	160576.96000000005	210996.77999999997	160534.36999999997	238239.70999999996	156841.55999999997	114223.10999999997	146950.7	147187.67999999996	143767.25000000003	209157.53000000003	153372.21000000002	102906.12	160626.7	123108.32000000004	212909.71000000008	143318.5	Phosphotransferase system (PTS)	Environmental Information Processing	Membrane transport
ko00196	0.0	12.0	372.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	Photosynthesis - antenna proteins	Metabolism	Energy metabolism
ko00195	293831.60000000003	221546.59	318005.68000000005	325189.02	348088.12000000005	349899.32	265877.9300000001	351459.0400000001	353990.56999999995	133461.16000000003	355398.72	352316.52	334126.08	288258.0400000001	269270.29	268932.7799999999	298056.60000000003	287977.92000000004	247149.46000000002	320448.60000000003	351275.16	301554.16000000003	347909.60000000003	285380.96	Photosynthesis	Metabolism	Energy metabolism
ko00194	295434.2	222193.38	320996.18000000005	328471.02	349513.72000000003	350767.11	267780.2900000001	353967.1400000001	355242.29999999993	136430.07000000004	356219.68	354724.59	335231.28	289783.4400000001	270691.79	270274.7199999999	299134.13000000006	290506.01000000007	248198.75000000003	322748.10000000003	354399.45999999996	302333.85000000003	352413.00000000006	286568.04000000004	Photosynthesis proteins	Brite Hierarchies	Protein families: metabolism
ko04075	24.6	0.8	0.0	86.8	3.2	192.0	0.0	1.6	4.6	0.0	0.8	12.4	0.0	19.0	0.0	4.2	0.6	0.0	5.6	0.0	0.0	0.0	3.2	0.0	Plant hormone signal transduction	Environmental Information Processing	Signal transduction
ko04626	167209.18000000002	128920.08	157458.76	177276.59	198026.28	206306.62999999998	149205.26	190084.50999999998	166853.47000000003	64531.71000000001	181666.1	172179.36	168243.68000000002	174820.94	128053.63999999998	143742.32	159695.82	150334.22	144517.68	188406.86	188028.43	165546.80000000002	190862.44	136981.13	Plant-pathogen interaction	Organismal Systems	Environmental adaptation
ko01524	30714.07	7197.579999999999	32806.25	13775.58	11894.369999999999	10654.18	23880.4	11317.32	27676.600000000002	25100.89	19218.050000000003	22133.71	20048.379999999997	13755.09	19480.24	20779.06	22290.629999999997	24228.390000000003	17445.78	9501.92	19170.05	22948.670000000006	13013.6	22479.58	Platinum drug resistance	Human Diseases	Drug resistance: antineoplastic
ko00624	0.0	0.29	0.0	207.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	6.0	42.0	126.0	355.87	0.0	4.5	4.0	10.0	21.75	Polycyclic aromatic hydrocarbon degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko01008	775.0	379.4399999999999	138.7	1681.19	976.7999999999997	731.6400000000001	2847.750000000001	620.4	509.39	10225.73	1039.56	871.8700000000001	186.0	666.8700000000002	283.6	181.70999999999998	866.4000000000001	3103.8699999999985	956.8699999999999	84.67	246.39999999999998	190.07999999999998	408.19999999999993	336.5	Polyketide biosynthesis proteins	Brite Hierarchies	Protein families: metabolism
ko00523	165028.62	132128.39	150505.03	167369.09000000003	172534.21	172485.28999999998	139547.13000000003	167334.28	188059.49000000002	63469.83000000001	201086.23	170699.94	151195.94	167713.12	126659.44999999998	134868.68	162934.6	151191.26	146430.47000000003	184316.38999999998	170871.35	163455.63	167560.89	136273.41	Polyketide sugar unit biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
ko00860	763272.2900000003	407921.23000000004	711460.89	642055.8899999999	706177.1	813306.6000000001	628607.4600000001	689361.4	763334.5700000002	319656.48999999993	808642.5899999999	795839.0599999998	692390.7200000002	605815.0200000003	564108.44	576513.3299999998	669882.8700000001	570472.53	545690.18	612179.1400000002	668802.7400000001	710660.53	626379.0199999996	674062.2100000001	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
ko01006	209733.91999999998	147407.8	178622.84000000003	198593.05000000002	210701.62	227295.95	184561.40000000002	245150.77000000002	207336.99000000005	112405.78000000001	207274.39	207818.66000000003	183559.72	195820.81	155435.38999999998	181266.01	204095.18	184737.59000000003	189183.93	204297.36	211471.62	196793.53999999998	196705.69	163965.42	Prenyltransferases	Brite Hierarchies	Protein families: metabolism
ko00120	16245.2	19563.7	20170.92	35094.28	32276.3	40265.0	25802.96000000001	33985.07	36572.53	7774.83	32827.630000000005	32062.57	27804.28	33832.48	18470.89	17247.3	32378.070000000003	22348.95	29634.75	39691.75	30004.97	29779.5	29358.55	24645.26	Primary bile acid biosynthesis	Metabolism	Lipid metabolism
ko05340	32316.600000000002	26831.15	36937.14	35310.74	42219.15	45196.78	35283.88	45867.19	49213.56000000001	15355.18	46123.770000000004	40666.74	37805.61	40683.51000000002	27686.56	28656.640000000003	41806.04	35695.88	30716.579999999998	44385.45	45549.58999999999	39928.130000000005	43367.889999999985	34017.47	Primary immunodeficiency	Human Diseases	Immune disease
ko05020	1914.45	824.5899999999999	12709.0	3967.55	1542.05	3326.29	3752.1099999999997	3753.7	13755.33	3327.41	1449.9299999999996	5187.3	1854.7	3350.9	2085.82	4514.97	3015.3	3618.34	3281.2200000000003	3135.25	7062.3	3385.19	5049.6	1147.75	Prion disease	Human Diseases	Neurodegenerative disease
ko00333	148160.41999999998	109919.59	147111.47000000003	148267.67	166905.62000000002	159002.52000000002	133960.22	165404.14	178645.32	72194.58000000002	164325.25	162830.03	142735.52	150749.38	121538.84	134057.58000000002	152632.86999999997	143783.74	128528.65999999999	152720.56000000003	161039.55	153134.65999999997	152806.14	128133.73	Prodigiosin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko04914	41569.73	30265.57	37458.24000000001	41773.73	41266.37	41904.11	35997.37	42738.65	43266.73	16622.520000000004	46058.68	41269.04	36851.41	38637.210000000014	31186.47	35846.08999999998	39261.83	31857.19	34460.87	39821.2	40398.27	40090.52	39642.57	33182.960000000014	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
ko02048	738882.3999999991	634873.380000001	751890.49	888064.5900000002	1078916.3100000003	1038144.3000000007	773119.8500000002	1033254.7899999989	941000.8600000003	442205.92000000004	914065.0499999999	984601.190000001	889709.469999999	858109.7200000009	660781.6699999998	698763.3099999994	793047.4499999993	813741.7499999998	733614.7200000004	916068.6099999999	858986.8200000009	894257.09	908506.3100000003	743483.9099999998	Prokaryotic defense system	Brite Hierarchies	Protein families: signaling and cellular processes
ko04917	21234.45	6705.4	21305.5	10433.3	18051.85	12674.06	17064.66	10036.12	20472.5	6017.91	22845.18	21268.14	20561.95	10023.14	15369.25	14899.14	16612.8	11300.54	10829.64	11131.17	15643.3	16999.52	16759.5	18076.08	Prolactin signaling pathway	Organismal Systems	Endocrine system
ko00640	550160.5899999997	360312.8099999997	487772.69999999984	562961.6800000002	586456.1399999994	639252.3099999998	502571.33999999985	601163.8099999996	590074.3900000004	279546.44000000006	601624.1500000005	602132.9200000003	503494.8500000004	527652.0100000002	402220.62000000005	453847.74000000005	533170.6300000005	486513.16000000003	499660.19999999966	538916.15	519528.32999999955	530805.9600000003	545892.7700000003	474774.2800000001	Propanoate metabolism	Metabolism	Carbohydrate metabolism
ko05215	41569.73	30265.57	37458.24000000001	41773.73	41266.37	41904.11	35997.37	42738.65	43266.73	16622.520000000004	46058.68	41269.04	36851.41	38637.210000000014	31186.47	35846.08999999998	39261.83	31857.19	34460.87	39821.2	40398.27	40090.52	39642.57	33182.960000000014	Prostate cancer	Human Diseases	Cancer: specific types
ko03051	43766.73	30463.07	37843.49000000001	41910.72000000001	42529.87	42067.86	37814.61000000001	42744.65	43316.23	16888.020000000004	46232.68	42281.04	38579.66	39348.210000000014	32133.72	36166.08999999998	39690.17	33006.69	37230.62	39938.2	40731.27	40172.02999999999	40631.82	33368.960000000014	Proteasome	Brite Hierarchies	Protein families: genetic information processing
ko03050	1143.0	60.5	121.75	42.33	401.5	43.75	1410.08	1.0	16.5	88.5	58.0	334.0	556.75	696.0	346.75	147.0	170.67000000000002	416.5	908.25	34.0	131.0	76.17	329.75	66.0	Proteasome	Genetic Information Processing	Folding, sorting and degradation
ko04974	24900.91	42862.5	16332.74	50497.21000000001	59151.15	70737.8	29320.44	70876.7	43321.56000000001	7993.809999999998	32225.0	40208.6	30420.96	50419.82000000001	24095.33	27165.86	34747.47	38340.15	42097.3	55491.65	46705.04	31187.25	44457.59	19587.51	Protein digestion and absorption	Organismal Systems	Digestive system
ko03060	547981.2599999999	396026.49000000005	510222.28000000014	548646.8300000001	593759.7999999999	629835.8499999999	492086.6500000002	644311.63	584732.31	249287.19000000006	563833.79	584831.06	515810.2100000001	530786.2600000001	432193.0399999999	481105.9699999999	530870.2600000001	503230.07000000007	482226.01	542572.11	570879.93	545553.89	552834.4500000001	454425.75	Protein export	Genetic Information Processing	Folding, sorting and degradation
ko01001	295122.2800000001	249843.11999999994	300589.73	346975.52999999997	410173.6200000001	410653.62000000005	303680.15	362917.8500000002	362700.74999999977	195335.99000000002	386658.4600000001	378287.2899999998	347172.3200000001	344356.2599999998	254576.75	264771.89	313931.0900000001	311752.32999999996	290187.7999999999	351521.98000000004	364324.9999999998	312160.43000000005	397226.71999999986	278723.29000000004	Protein kinases	Brite Hierarchies	Protein families: metabolism
ko01009	137850.47	117849.73000000001	141414.12000000002	168174.66	184871.81	191946.21000000002	136763.61000000002	189052.71	180110.13	80550.38	184559.5	172806.22	149422.05	165642.69	122080.67000000001	140011.88	151582.06	127255.92	151737.29	169888.51	161428.28	155403.38	167566.33000000002	137244.40000000002	Protein phosphatases and associated proteins	Brite Hierarchies	Protein families: metabolism
Protein processing	220807.71999999997	141637.50000000003	201444.47	217672.11	216138.11000000002	218062.81999999992	206857.03999999998	218884.27	212266.8	158563.91000000006	229183.52999999997	224764.86	203133.66000000003	194145.63000000003	181490.66	186411.11	199674.54000000004	194477.4	187291.96000000002	192412.77000000005	218710.90999999995	189022.63999999996	209937.95999999996	185225.62000000002	Protein processing	Not Included in Pathway or Brite	Unclassified: genetic information processing
ko04141	80024.73000000001	52431.49	63132.500000000015	73907.72	67951.99	71311.68	68766.44	83926.66	68467.75	22050.380000000005	73714.6	69956.81	65640.22	72038.67000000001	53376.18000000001	61120.999999999985	67951.53	59405.39	62100.07000000001	70868.23999999999	69406.01	71954.26999999999	65304.37000000001	60794.95000000001	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
ko00535	55.0	0.0	0.0	27.5	249.0	0.0	45.5	0.0	16.5	88.5	0.0	98.0	48.0	0.0	43.0	0.0	46.0	58.0	452.0	19.0	94.0	0.0	25.5	41.0	Proteoglycans	Brite Hierarchies	Protein families: signaling and cellular processes
ko05205	40924.92	27041.97	37318.76	37356.99000000001	40763.69	42465.96	35502.950000000004	42796.53000000001	40595.33	17203.020000000004	39925.18	41379.04	37781.86	36531.3	31551.02	35183.590000000004	38963.07	36521.09	34030.87	37577.87	41015.02	38654.52	38744.1	34035.04	Proteoglycans in cancer	Human Diseases	Cancer: overview
ko04964	21106.4	16347.960000000001	11314.279999999999	23606.07	24017.989999999998	28649.96	26070.65	17752.8	19639.0	23360.18	18408.25	22711.07	18853.620000000003	24225.2	14375.28	16488.67	23789.100000000002	20097.29	29807.390000000007	24749.58	18075.79	23942.340000000004	18454.999999999996	18562.760000000002	Proximal tubule bicarbonate reclamation	Organismal Systems	Excretory system
ko00230	1419347.230000001	1060407.770000001	1306190.9399999995	1456051.230000001	1611352.3600000015	1718171.1400000004	1309460.990000001	1696480.2600000019	1585817.249999999	722714.2499999999	1538409.8099999987	1547652.4699999997	1386796.089999999	1410856.1499999994	1126857.5100000002	1240676.2599999995	1422208.2199999995	1386907.040000001	1286978.7000000004	1463985.4800000007	1576757.3200000015	1403629.929999999	1496758.8199999991	1184829.7900000003	Purine metabolism	Metabolism	Nucleotide metabolism
ko00240	1089241.47	800945.4099999998	984840.1000000002	1125991.19	1197874.3900000004	1283676.53	1000489.7700000006	1281200.8100000012	1190923.7000000002	516057.1199999999	1189221.8599999999	1199842.4999999998	1075782.9799999995	1068938.4100000001	889262.9600000001	957151.7200000001	1092824.7699999996	1043209.1099999998	953485.2000000003	1110898.73	1164838.0800000008	1106226.7399999995	1122299.7399999998	964035.8399999997	Pyrimidine metabolism	Metabolism	Nucleotide metabolism
ko00620	1000041.7099999993	632350.86	871703.2499999999	985630.33	980469.4199999996	1045068.3600000006	879347.7400000003	995346.1899999995	984060.8900000002	475658.0299999998	993191.4000000001	1025317.5400000005	893720.9999999995	920639.6900000009	728463.77	816805.6499999999	947006.8999999997	868127.7200000002	832711.8300000002	918129.9699999999	947458.4000000004	938014.8499999996	984906.6000000003	826951.0899999999	Pyruvate metabolism	Metabolism	Carbohydrate metabolism
ko02024	1237389.0999999996	631862.3600000002	1109159.5400000003	1018112.3600000002	1088666.3599999999	1103468.370000001	1009858.7000000008	1023407.0099999998	1225779.1200000006	602815.7699999996	1155818.3600000006	1165304.2300000002	1108490.789999999	936708.6400000007	898502.2699999997	938992.3900000002	1081087.7699999993	997339.0199999994	866799.8000000009	950602.5000000001	1081646.8300000017	1090988.9999999993	1087139.5600000005	1003194.0599999995	Quorum sensing	Cellular Processes	Cellular community - prokaryotes
ko04622	223.0	15.0	155.5	496.0	103.5	946.79	98.93	15.17	66.0	1368.71	186.43	88.0	722.0	226.17	34.0	36.82	233.17	2131.04	137.75	27.0	58.75	10.29	395.5	139.5	RIG-I-like receptor signaling pathway	Organismal Systems	Immune system
ko03018	554701.6200000001	401299.4999999999	525690.9700000001	573891.7599999999	617828.62	650048.6799999999	511467.36000000004	648448.1499999999	613143.13	293368.29000000004	618624.4000000001	610080.56	545397.9800000001	557861.7999999999	443383.23999999993	498091.73000000016	565857.9200000002	504611.68999999994	517261.15	580615.25	593986.4400000001	559159.22	573001.7499999999	486528.39999999997	RNA degradation	Genetic Information Processing	Folding, sorting and degradation
ko03020	155009.65000000002	94658.03	141856.97000000003	129623.28	141850.91	147652.29	132230.87000000005	147154.59000000005	143415.59	65365.30000000001	142673.47	145382.36	135721.06	128536.46	115310.43999999999	127827.07999999996	139240.25	132180.21000000002	123502.08000000002	128030.53000000001	143375.86	139582.91	137204.58	121139.03	RNA polymerase	Genetic Information Processing	Transcription
ko03013	58989.20000000001	50230.55	62727.14000000001	65828.66	79282.45	80564.64	64207.56	81508.96000000002	77107.12	23675.089999999997	79450.65	73258.68000000001	66236.06	70925.65000000001	51115.64	54132.479999999996	65813.56	60155.27	52311.37	74218.87	78997.13999999998	68991.98	73109.13999999998	57711.8	RNA transport	Genetic Information Processing	Translation
ko04014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ras signaling pathway	Environmental Information Processing	Signal transduction
ko04810	22.0	6.0	0.0	10.0	11.0	0.0	0.0	0.0	14.0	0.0	10.0	8.0	0.0	56.0	0.0	9.0	2.0	0.0	0.0	5.0	0.0	6.0	28.0	3.0	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
ko04923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Regulation of lipolysis in adipocytes	Organismal Systems	Endocrine system
ko05211	1503.94	1784.12	3729.67	6587.16	1850.77	1698.04	2819.58	2704.76	5228.4	3827.91	8174.13	7103.4	2103.95	4463.07	2246.83	2175.37	1765.87	5625.09	3106.29	2721.67	2430.4	3574.36	5509.16	3123.58	Renal cell carcinoma	Human Diseases	Cancer: specific types
